ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,8 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-512gb-ssd-4gb-rtx3050ti-dos-15-6-fhd-gaming-laptop-nh-qfley-004-p-448144711,22.908 TL
,16 GB,,,Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Intel Iris Graphics,DDR,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,8 GB,LPDDR4,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//huawei/matebook-d14-intel-core-i5-1155g7-8gb-512gb-ssd-14-w11-dizustu-bilgisayar-huawei-turkiye-garanti-p-664355420,15.420 TL
,16 GB,,,HDMI - USB,,,2 - 4 kg,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR3,Paylaşımlı,Harici,,Belirtilmemiş,,,2 Yıl,Lenovo Türkiye Garantili,,,256 GB,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,HD Ready (HD),,Belirtilmemiş,Belirtilmemiş,Intel Core i3,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-15itl6-intel-core-i3-1115g4-8-gb-256-gb-ssd-15-6-fhd-fdos-82h803nttx-p-782022798,9.496 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Tasarım,,,,,,Yok,IPS,,,16 GB,DDR4,Siyah,1 TB,,,,2.7,,,,,,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-intel-i5-11400h-16-gb-1-tb-ssd-rtx3050-15-6-fx506hc-hn011-zi705-p-765797606?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMTAyNjk4NjQ4MDEzMTc0NSwiYWRTY29yZSI6MC4wMzk2MjI2NjA3MjYzMDg4MiwiYWRTY29yZXMiOnsiMSI6MC4wMzk2MjI2NjA3MjYzMDg4MiwiMiI6MC4wMzk2MjI2NjA3MjYzMDg4Mn0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43NTU5OTI0NzY0MzgyNzg2LCJhZHZlcnRTbG90Ijo2LCJvcmRlciI6MjMsImF0dHJpYnV0ZXMiOiIifQ==,"27.619,02 TL"
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-mgn63tu-a-p-68042136,28.599 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,128 GB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,4 GB,DDR4,Gri,SSD Yok,,,,Belirtilmemiş,,,,,,,,,1366 x 768,HD Ready (HD),,N4120,Belirtilmemiş,Intel Celeron,4,Windows,,https://www.trendyol.com//lenovo/ideapad-1-celeron-n4120-4gb-ram-128gb-emmc-15-6-win-11-p-382953334,"6.880,01 TL"
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,4.5,,,,Yok,IPS,,,16 GB,DDR4,Siyah,1 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-57-i5-11400h-16gb-1tb-ssd-rtx3050-dos-15-6-fhd-notebook-nh-qeley-008-16-p-780239795,23.499 TL
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce GTX 1650,Belirtilmemiş,4 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,10300H,10. Nesil,Intel Core i5,Belirtilmemiş,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-intel-core-i5-10300h-16gb-512gb-ssd-gtx1650-freedos-15-6-fx506lhb-hn32304-p-345144526?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMDg0MDczMDUwMjgyODk1NSwiYWRTY29yZSI6MC4wMzg5NTMzOTc0MjMwMjg5NDYsImFkU2NvcmVzIjp7IjEiOjAuMDM4OTUzMzk3NDIzMDI4OTQ2LCIyIjowLjAzODk1MzM5NzQyMzAyODk0Nn0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi42ODgwNzcxMTc3OTgyNTE0LCJhZHZlcnRTbG90Ijo3LCJvcmRlciI6MywiYXR0cmlidXRlcyI6IiJ9,"24.734,36 TL"
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,16 GB,DDR5,Mavi,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-e1014nt-amd-ryzen-5-6600h-16gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-79y91ea-p-752671808,"25.626,13 TL"
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,TN,,,8 GB,DDR6,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11ucx-1623xtr-intel-core-i5-11400h-8gb-512gb-ssd-rtx2050-freedos-15-6-fhd-144hz-p-766710492,21.999 TL
,16 GB,USB - Bluetooth - HDMI,,HDMI,,2 kg ve AltÄ±,Belirtilmemiş,Yok,"15,6 inÃ§",AMD Radeon Graphics,Dahili,PaylaÅŸÄ±mlÄ±,Dahili,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,Belirtilmemiş,,2 YÄ±l,2 Yıl,Lenovo TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e + Numerik (AydÄ±nlatmalÄ±),Ofis - Ä°ÅŸ,Ev - Okul,,,,,,Yok,,8 GB,LPDDR5,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,1920 x 1080,Full HD (FHD),7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284,10.450 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,8 GB,DDR5,Beyaz,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Windows,,https://www.trendyol.com//acer/aspire-3-a315-24p-r1x3-amd-ryzen-5-7520u-8gb-256gb-ssd-w11-15-6-fhd-nx-kdeey-003-mouse-p-741984880?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMDM5MzA2NjczODE3MzM2NSwiYWRTY29yZSI6MC4wMzczNDQ4MzE5NzMzMTQyODUsImFkU2NvcmVzIjp7IjEiOjAuMDM3MzQ0ODMxOTczMzE0Mjg1LCIyIjowLjAzNzM0NDgzMTk3MzMxNDI4NX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43ODA0NTI0NDA1Mzg3NTUsImFkdmVydFNsb3QiOjgsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,"12.765,06 TL"
,8 GB,,,Mini HDMI,,,2 kg ve Altı,Yok,"13,6 inç",,,,,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,8 GB,DDR5,Mavi,256 GB,,,,3.3,,,,,,,,,2560 x 1600,Ultra HD 4K (UHD),,Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153,35.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,,,,4 GB,DDR4,Gri,128 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,9. Nesil,Intel Celeron,4,Windows,,https://www.trendyol.com//asus/intel-cel-n4020-4gb-ram-128gb-ssd-14-fhd-windows-11-gri-laptop-x415ma-ek385w-p-343054363,6.839 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//monster/abra-a5-v17-3-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674248329,31.499 TL
,16 GB,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,TN,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-10-pro-15-6-fhd-144hz-p-764509673?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMDMwODg2MzA3ODgwMjgyNCwiYWRTY29yZSI6MC4wMzcwNDIyNjc2MjA1NjM1MSwiYWRTY29yZXMiOnsiMSI6MC4wMzcwNDIyNjc2MjA1NjM1MSwiMiI6MC4wMzcwNDIyNjc2MjA1NjM1MX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi42OTI2MDk2MzIzMTQxMzYsImFkdmVydFNsb3QiOjksIm9yZGVyIjoxMSwiYXR0cmlidXRlcyI6IiJ9,"34.634,16 TL"
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Ofis - İş,,,,,,Yok,Full HD,,,32 GB,DDR4,Gri,1 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//casper/nirvana-c550-1235-df00x-g-f-intel-core-i5-1235u-32gb-ram-1tb-nvme-ssd-gen4-freedos-p-740918787,16.799 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Dahili,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,8 GB,DDR5,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-512gb-ssd-rtx4050-w11-15-6-fhd-144hz-gaming-laptop-nh-qlzey-002-p-773939037,25.999 TL
,16 GB,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,TN,,,8 GB,DDR4,Siyah,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//lenovo/v15-ryzen-3-7320u-8gb-256-ssd-15-6-freedos-tasinabilir-bilgisayar-82yu00p0tx-p-742227880,"9.199,99 TL"
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce GTX 1650,Belirtilmemiş,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,4.5,,,,Yok,IPS,,,32 GB,DDR4,Siyah,1 TB,,,,2.5,,,,,,,,,1920 x 1080,Full HD (FHD),,10300H,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//asus/tuf-gaming-intel-core-i5-10300h-32gb-1tb-ssd-gtx1650-windows-11-pro-15-6-fx506lhb-hn347wp08-p-635047660?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4wOTg5OTk1MTkyODQ4MTQ2LCJhZFNjb3JlIjowLjAzNTU3Mjk0OTc5NjkxNTA1NCwiYWRTY29yZXMiOnsiMSI6MC4wMzU1NzI5NDk3OTY5MTUwNTQsIjIiOjAuMDM1NTcyOTQ5Nzk2OTE1MDU0fSwiY3BjIjoyLjc4MywibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjcwMTIyODczNjU2MTMyNjYsImFkdmVydFNsb3QiOjEwLCJvcmRlciI6MTUsImF0dHJpYnV0ZXMiOiIifQ==,"29.199,16 TL"
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.7,,,,Yok,IPS,,,16 GB,DDR5,Gri,1 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,13500H,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/victus-16-r0035nt-intel-i5-13500h-ddr5-16gb-1tb-ssd-gen4-8gb-rtx-4060-16-1-freedos-laptop-7p6l3ea-p-706057652,33.359 TL
,16 GB,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,TN,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//lenovo/nb-v15-g3-i5-1235u-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82tt00a6tx003-p-744745792,14.599 TL
,16 GB,,,Bluetooth,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,Belirtilmemiş,Full HD,,2 Yıl,Resmi Distribütör Garantili,Full HD,,256 GB,Yok,Numerik Tuşlu Aydınlatmalı,,Oyun,,,,,,Yok,VA,,,16 GB,Belirtilmemiş,Gri,500 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11800H,Belirtilmemiş,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v13-3-3-intel-core-i7-11800h-16gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-133966693,27.899 TL
,16 GB,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,TN,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-11-pro-15-6-fhd-144hz-p-764509751?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4wOTUzNzkyMTQ5OTA4ODQwNiwiYWRTY29yZSI6MC4wMzQyNzIwODU4NzUyNzI3NSwiYWRTY29yZXMiOnsiMSI6MC4wMzQyNzIwODU4NzUyNzI3NSwiMiI6MC4wMzQyNzIwODU4NzUyNzI3NX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi42NTE5OTUwMzcyNTM5ODk2LCJhZHZlcnRTbG90IjoxMSwib3JkZXIiOjE5LCJhdHRyaWJ1dGVzIjoiIn0=,"36.020,16 TL"
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//monster/abra-a7-v13-3-4-intel-core-i7-11800h-32gb-1-tb-ssd-rtx3050ti-freedos-17-3-fhd-p-738620917,34.799 TL
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon RX6500M,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,4.2,,,,Yok,IPS,,,16 GB,DDR4,Mavi,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0025nt-r5-5600h-16-gb-512-gb-ssd-rx6500m-dos-15-6-fhd-144hz-7n9g7ea-p-645935643,22.299 TL
,32 GB,,,Bluetooth,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,4.7,,,,Yok,IPS,,,16 GB,DDR4,Siyah,512 GB,,,,2.3,,,,,,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn011-intel-core-i7-12700h-16-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-p-654271600,30.999 TL
,16 GB,,,Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce GTX1650 Ti,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,IPS,,,8 GB,DDR4,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11320H,11. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-11320h-8-gb-512-gb-gtx1650-w11-pro-15-6-fhd-82k101lxtxar103-p-772339485?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4wOTAyMDM5NjQ1MDkwNjk5MiwiYWRTY29yZSI6MC4wMzI0MTI0OTE3Mzg3OTYyMzQsImFkU2NvcmVzIjp7IjEiOjAuMDMyNDEyNDkxNzM4Nzk2MjM0LCIyIjowLjAzMjQxMjQ5MTczODc5NjIzNH0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43ODMsImFkdmVydFNsb3QiOjEyLCJvcmRlciI6MjMsImF0dHJpYnV0ZXMiOiIifQ==,"25.144,02 TL"
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,,,,4 GB,DDR4,Gri,128 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,10. Nesil,Intel Celeron,2,Windows,,https://www.trendyol.com//lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201,6.692 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.2,,,,Yok,,,,16 GB,DDR4,Siyah,512 GB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/v15-i5-1135g7-16gb-512gb-ssd-15-6-fhd-w11pro-tasinabilir-bilgisayar-82kb00n9tx-p-741544827,18.672 TL
