marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
2,1,22,13.0,2.0,64.0,0.0,240.0,57,18.0,172.8296
2,1,8,3.0,512.0,24.0,0.0,60.0,3,15.6,15.0
16,1,8,5.0,256.0,8.0,0.0,60.0,3,15.6,11.9499
0,1,20,12.0,256.0,8.0,0.0,144.0,44,15.6,21.999
23,1,19,10.0,256.0,8.0,0.0,60.0,20,14.0,14.3
11,1,8,7.0,1.0,16.0,0.0,144.0,45,16.1,28.999
2,1,20,12.0,256.0,16.0,0.0,60.0,24,15.6,14.799
2,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,16.999
2,5,20,11.0,512.0,8.0,0.0,60.0,44,15.6,24.949
16,1,20,12.0,512.0,16.0,0.0,120.0,45,15.6,24.999
16,1,21,11.0,512.0,8.0,0.0,60.0,21,15.6,17.979
0,1,20,11.0,1.0,8.0,0.0,144.0,45,15.6,24.9988
2,1,17,5.0,256.0,8.0,0.0,60.0,25,15.6,9.4531
2,5,19,10.0,256.0,4.0,0.0,60.0,24,15.6,9.499
2,1,20,10.0,512.0,16.0,0.0,60.0,36,15.6,24.7346
2,5,22,12.0,1.0,16.0,0.0,120.0,46,13.4,40.8959
2,1,17,13.0,128.0,8.0,0.0,60.0,24,15.6,8.099
16,1,20,11.0,256.0,8.0,0.0,144.0,21,15.6,12.629
16,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,8.999
16,1,20,11.0,512.0,16.0,0.0,60.0,40,14.0,13.773
11,1,7,5.0,256.0,8.0,0.0,60.0,3,15.6,16.099
16,1,8,5.0,1.0,16.0,1.0,90.0,9,14.0,35.999
4,1,21,13.0,512.0,16.0,0.0,120.0,45,15.6,35.999
0,1,6,7.0,256.0,8.0,0.0,60.0,3,15.6,9.299
16,5,22,12.0,1.0,32.0,0.0,60.0,13,16.0,187.349
11,5,21,11.0,512.0,8.0,0.0,60.0,42,14.0,34.999
0,5,17,13.0,128.0,4.0,0.0,60.0,14,15.6,8.9
2,5,31,13.0,512.0,16.0,500.0,120.0,3,7.0,32.987
11,1,7,7.0,512.0,16.0,0.0,144.0,53,16.1,29.999
6,1,20,11.0,512.0,16.0,0.0,60.0,21,15.6,11.4331
16,5,21,13.0,1.0,16.0,0.0,60.0,14,16.0,53.19
2,5,17,4.0,128.0,12.0,0.0,60.0,24,15.6,8.549
16,1,5,10.0,0.0,8.0,1.0,60.0,14,15.6,15.555
16,1,17,13.0,256.0,4.0,256.0,60.0,25,14.0,9.499
16,1,20,11.0,512.0,8.0,0.0,60.0,14,15.6,14.999
3,5,20,11.0,500.0,8.0,0.0,60.0,27,15.6,14.699
16,1,19,11.0,512.0,8.0,0.0,60.0,65,15.6,10.4999
16,5,29,5.0,32.0,36.0,500.0,90.0,42,18.0,9.074
19,5,20,12.0,512.0,8.0,0.0,144.0,44,15.6,24.599
4,5,7,5.0,512.0,8.0,0.0,60.0,3,15.6,16.0
16,1,7,7.0,512.0,16.0,0.0,120.0,53,15.6,27.599
2,5,17,13.0,128.0,8.0,0.0,60.0,24,14.0,9.499
4,2,21,13.0,512.0,16.0,0.0,165.0,54,16.0,45.499
16,1,20,12.0,512.0,16.0,0.0,165.0,58,15.6,27.999
2,6,20,11.0,256.0,8.0,256.0,60.0,14,14.0,17.0
2,1,20,11.0,512.0,16.0,0.0,60.0,21,14.0,16.5
2,6,20,11.0,256.0,8.0,256.0,60.0,24,15.6,14.999
16,1,21,11.0,512.0,32.0,0.0,60.0,58,15.6,37.999
18,1,21,11.0,1.0,16.0,0.0,144.0,46,15.6,29.399
18,5,21,12.0,1.0,32.0,0.0,144.0,54,17.3,47.249
1,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,54.999
13,5,19,11.0,256.0,8.0,0.0,60.0,24,14.0,13.899
16,1,4,13.0,256.0,8.0,0.0,60.0,3,15.6,8.889
16,1,20,12.0,512.0,16.0,0.0,120.0,58,15.6,27.299
0,5,21,11.0,512.0,16.0,512.0,60.0,40,14.0,18.999
1,3,27,13.0,256.0,16.0,0.0,60.0,31,13.0,43.99
13,1,16,1.0,120.0,1.0,0.0,60.0,6,10.0,56.5343
